,word,content
10,시바견 [Shiba] - 해외의 애견인들에게도 사랑받고 있는 일본 출신의 소박한 개,[특징] 옛날 일본에서는 지방마다 특징이 다른 개가 있었는데 산지의 다른 견종끼리 교배해서 태어난 것이 현재의 시바견의 루트라고 한다. 근육질로 골격이 굵은 몸. [성격] 주인에게 충성스럽고 복종심이 있기 때문에 훈련이 쉽다. 대담하고 행동력이 있지만 냉정한 판단력이 있다. 헛울음이 적고 관리하기가 쉽다. [케어 방법] 주인에게만 복종하는 면이 있기 때문에 일찍부터 다른 개나 사람에게 익숙해지게 한다. 몸은 튼튼하지만 상당한 운동량이 필요하다. [걸리기 쉬운 질병] • 아토피성 피부염 • 슬개골 탈구 • 녹내장 • 갑상선 기능저하증 • 심실 중격 결손증 등
11,꼭 알아야 할 주요 응급처치,"[골절·탈구] 골절이나 탈구 처치에서는 '고정'이 중요하다. 부러진 곳이나 어긋난 관절을 원래대로 되돌리려고 하지 말고 그 상태로 고정한다. 환부를 부딪쳐 2차 부상이 일어나지 않도록 보호하는 것이 목적이라고 생각하면 된다. 또한 꼬리뼈의 고정은 어려운 기술을 요하므로 그대로 병원으로 데려간다. 필요에 따라 물리지 않도록 재갈을 물리고, 출혈이 있으면 지혈을 한 후에 고정한다. [타박] 어딘가에 부딪치거나 맞아서 아픈 경우 개는 '깨갱!' 하고 하이톤의 큰 소리를 낸다. 이것도 하나의 판단근거이다. 부딪친 곳을 신경 쓰고 감싸려고 한다면 타박상일 가능성이 있다. 신경 써야 할 부분은 두부의 타박상이다. 걷는 모습이 이상하다고 느껴지거나 움직이려고 하지 않는 경우에는 중상일 수도 있으므로 가능한 움직이지 않도록 신경 쓰며 빨리 병원으로 데려간다. [찰과상·절상·자상·교상] 찰과상이나 절상 등의 상처로 걱정되는 부분은 상처를 통한 세균 감염이다. 출혈을 동반하는 경우에는..."
12,바베시아증,혈액 속에 기생하는 바베시아라는 원충에 감염되어 일어나는 중증의 빈혈이 특징인 질병이다. 바베시아는 참진드기를 매개로 한다. [증상] 감염에 의해 적혈구가 파괴되고 빈혈이 심해진다. 발열해서 입술 점막이 새파래지고 소변은 갈색이 된다. 간혹 점막이나 피부가 노랗게 되는 황달이 일어나기도 한다. [원인] 참진드기의 흡혈 과정에서 바베시아 원충이 체내로 들어와 적혈구를 감염시키고 파괴하여 발병한다. [치료와 간호] 빈혈이나 황달의 치료 외에 항원충제를 투여한다. 재발이 많은 질병이므로 완치시키는 것이 중요하다. 참진드기가 기생하지 않도록 정기적으로 살충제를 주변에 살포하는 것이 예방대책이다. 바베시아증
13,설사를 한다,"급성으로 심한 설사 증상이 나타나면 급속하게 악화되어 사망에 이르는 경우도 적지 않다. 변의 변화에는 민감해지자. [증례 차트 - 설사를 한다] 증상 유추할 수 있는 질병 대처 심한 설사를 반복한다. • 혈변이 나온다. • 구토를 동반한다. • 급격하게 마른다. • 배를 아파한다. • 파보바이러스 감염증 • 코로나바이러스 감염증 • 홍역 • 출혈성 위장염 • 췌염 • 대장염 • 소화관 내 기생충(회충증, 편충증, 콕시듐증 등) • 중독 긴급히 병원으로 설사나 무른 변이 만성적으로 계속된다. • 일부에 피가 섞여 있다. • 마른다. • 변에 벌레가 있다. • 대장염 • 췌염 • 췌외분비부전 • 소화기 종양 • 소화관 내 기생충(조충증, 편모충증 등) • 장폐색 빨리 병원으로 1~2회 설사를 했다. 건강하고 식욕도 있다. • 식단의 변화 • 과식 • 기름진 식단 문제점을 개선하고 상태를 지켜본다. •"
14,외이염,"외이도에 염증이 생기는 흔한 질환이다. 귀가 늘어져 있는 개는 통풍이 잘 안 되기 때문에 더 걸리기 쉽다는 것이 통설이지만, 외이도에 털이 많이 나 있는 개가 더 잘 걸리고 체질적으로 귀지가 많이 쌓이는 견종도 있는 것 같다. [증상] 가려움 때문에 뒷발로 귀를 긁거나 귀를 땅에 비벼댄다. 가려움이 더욱 심해지거나 통증이 생기면 자주 머리를 흔들거나 고개를 기울인 채로 있다. 항상 귀지가 쌓인 상태이고 외이도에서 지저분한 악취가 나게 된다. 악화되면 중이염, 내이염으로 진행되고, 또 안면마비 등의 신경증상을 일으키기도 한다. [원인] 외이도의 귀지에 세균이나 곰팡이 등이 번식해서 염증이 생기는 것이 일반적인데, 풀이나 곤충, 샴푸 등이 귀로 들어가거나 아토피 등의 알레르기도 원인이 된다. 귀옴벌레라는 미세한 진드기나 마라세티아라는 효모균이 원인인 경우도 있다. 화농균이 항생제로 퇴치된 후에 균교대증이 나타나 효모균이 증식하기도 한다. [치료와 예방] 원인을 밝혀내고..."
15,포메라니안 [Pomeranian] - 조상은 아이슬란드의 썰매 개. 의외로 승부욕이 강한 것도 귀엽다,"[특징] 소형이고 동체가 짧으며 말린 꼬리가 등에 올라타듯 뻗어 있다. 피모는 부드럽고 풍성하다. 몸은 단단하지만 골격이 가늘며, 특히 사지가 가냘프다. [성격] 대형 견종을 소형화하는 과정에서 신경질적인 면이 나타난다고 하는데, 포메라니안도 신경질적이고 호전적이다. 가족 외에는 쉽게 길들여지지 않고, 큰 상대에게도 잘 짖는다. [케어 방법] 신경질적인 면이 나타나면 다루기 힘들어지므로 훈련을 철저히 한다. 빗질은 매일 꼼꼼하게. 비만예방, 여름의 더위 대책을 확실하게 한다. 신경질적이 되지 않도록 산책은 매일 시킨다. [걸리기 쉬운 질병] • 동맥관 개존증 • 승모판 폐쇄부전 • 기관허탈 • 정유정소 • 슬개골 탈구 등"
16,요독증,"신장의 기능이 저하되어 요소, 질소 등의 노폐물이 소변으로 배출되지 못하면 체내에 쌓여서 결국 요독증을 일으킨다. 다른 장기에도 심각한 영향을 미치고, 말기에는 경련이나 혼수상태 등의 신경증상을 일으킨다. [증상] 기운, 식욕이 없어지고 구토나 설사, 빈혈 등을 일으킨다. 암모니아 냄새가 섞인 구취가 나는 경우도 있다. 체중 감소와 함께 모질이 나빠지고 빈혈, 부정맥, 경련, 혼수상태 등 다양한 증상이 나타난다. [원인] 신부전증이 진행되면서 체내에 독소가 축적되어 일어난다. [치료와 간호] 수액을 맞히는 동시에 약물요법, 식사요법을 병행한다."
17,피를 토한다,"소화기에 이상이 있는 경우에는 검붉은 피가, 호흡기계에 이상이 있는 경우에는 기침과 함께 진한 붉은 피가 나온다. [증례 차트 - 피를 토한다] 증상 유추할 수 있는 질병 대처 • 출혈량이 많고, 반복적으로 토한다. • 호흡곤란이 오고, 의식을 잃는다. 긴급히 병원으로 검붉은 피를 토한다. • 급성 위염 • 만성 위염 • 혈소판 감소증 • 종양 빨리 병원으로 기침과 함께 진한 붉은 피를 토한다, 피에 작은 거품이 섞여 있다. • 폐렴 • 기관지염 • 폐수종 • 인두염 • 심장사상충증 • 혈소판 감소증 입안이나 코에서 출혈 • 비염 • 종양 • 부비강염 • 치주 질환 • 관찰 포인트 출혈이 많거나 호흡곤란을 동반하는 등 증상이 심각하다면 생명에 관련된 경우가 많으므로 시급히 병원으로 데려간다. 검붉은 피를 토해내는 '토혈'과 기침과 함께 토하는 '객혈'이 있는데, 양쪽 다 증상이 악화되기 전에 조기"
18,식사의 기본 - 건강한 신체는 바른 식사에서부터,"질병이 없는 건강한 몸을 유지하기 위해서는 매일 섭취하는 식사가 매우 중요하다. 식사에 관한 기본 팁을 배워보자. [특징을 알고 목적에 맞게] 반려견의 식사가 도그푸드만으로는 맛이 없다고 생각할지도 모른다. 하지만 개에게 필요한 영양을 수제로 만들어 급여하는 것은 매우 힘든 일이다. 필요한 영양소가 정확히 계산되어 있는 도그푸드는 개에게 이상적인 식단이라고 할 수 있다. 푸드를 선택할 때에는 반려견의 성장, 몸 상태, 기호에 맞게 선택하는 것이 중요하다. 급여량은 포장지의 표시에 따르도록 한다. [음식의 종류와 특징] • 드라이 타입 수분함유량 10% 이하. 영양밸런스가 좋고 씹는 식감이 있어 이빨 건강 유지에도 더 좋다. 반드시 깨끗한 물과 함께 급여하도록 한다. • 세미모이스춰 타입 수분함유량 25~35%인 반 생 타입. 영양가는 드라이 타입보다 낮지만 개의 기호성은 높은 편. 개봉 후 1개월 정도까지 사용한다. • 웨이트 타입 수분함유량 70% 이상. 고기, 생선,"
19,폐수종,"폐렴이 진행되거나 심장질환 등에 의해 폐에 물이 많이 고여 산소교환이 불가능해지는 질병이다. 방치하면 호흡이 곤란해져 생명을 잃을 수 있다. 대부분의 경우 다른 질환과 병발해서 일어난다. [증상] 증상이 가벼울 때에는 이따금 기침이 나오는 정도지만 심해지면 밤새 멈추지 않기도 한다. 초기에는 물과 같은 콧물이 나오고 악화되면 피가 섞여 나오기도 한다. 호흡이 괴롭기 때문에 혀나 잇몸이 보라색이 되는 청색증이 나타나거나 목의 정맥에 튀어나와 보이기도 한다. 선 채로 있거나 계속 앉은 자세로 있고 눕기를 싫어한다면 심각한 증상이다. [원인] 폐렴이나 심장질환 등이 원인이다. 세균 감염이나 극도의 스트레스, 급격한 운동 등으로 발병하기도 한다. [치료와 간호] 호흡을 도와주는 산소흡입이나 폐에 고인 물기를 제거하기 위한 이뇨제 등을 투여한다. 염증이나 심장에 대한 약을 처방하기도 한다. 가정에서는 운동을 제한하고 안정을 유지시킨다. 식사는 염분과 나트륨을 삼간다."
20,임신 중 몸의 변화나 주의사항,"구분 모체의 변화 주의사항 임신 전기 (1~3주) 교배에서 3주째 전후로 구토, 식욕저하 등의 입덧 증상이 나타나는 경우가 있다. 2~3일이 지나도 회복될 기미가 보이지 않는 경우에는 수의사에게 상담한다. • 식사는 평소 먹던 양으로, 단백질을 많이 급여한다. • 수정란이 자궁에 착상되기 전의 불안정한 시기이므로 입욕이나 무리한 운동(단 산책은 평소대로)은 삼간다. 임신 중기 (4~6주) 교배한 지 1개월 정도 지나면 조금씩 배가 당기고 체중이 증가한다. 동작이 느려지고 성격에 변화가 나타기도 한다. 소변 횟수가 늘거나 변비가 생기기도 한다. • 안정기에 들어서는 임신 5주째 정도에 목욕을 시킨다. • 6주째 정도부터 고칼로리의 임신용 푸드로 바꿔주는 것이 좋다. • 칼슘은 많이(새끼의 골격 형성과 모견의 건강 유지를 위해서). • 운동은 적당히. 임신 후기 (7~9주) 배가 꽤 부풀어 오르고"
21,급성 신부전,"소변을 만드는 신장의 75% 이상의 기능이 제 역할을 하지 못하게 된 상태를 신부전증이라고 하며, 급성 신부전증은 몇 시간에서 며칠 정도의 단시간 내에 기능이 급격히 저하되어 체내의 독소를 배설하지 못하게 된다. 이 상태를 요독증이라고 하는데, 다른 기관에도 장애가 전이되어 사망에 이르는 위험한 질병이다. [증상] 갑자기 기운이나 식욕이 완전히 사라진다. 이렇게 되기 전까지 다음, 다뇨 등의 증상을 보이다가 소변양이 적어지고, 어느 순간 전혀 나오지 않게 된다. 구토, 설사 등의 증상이 나타나고, 입이 바싹 마를 정도로 심한 탈수증상을 보이기도 한다. 체내에 독소가 쌓이면 요독증을 일으키고 경련 등의 신경증상이 나타난다. 사망률이 높고 만성 신부전으로 차츰 전이된다. [원인] 급성 신부전은 원인이 어디에 있는지에 따라서 신전성, 신성, 신후성으로 나눌 수 있다. 신전성은 심장의 질병 등이 원인이 되어 신장으로 가는 혈액의 양이 줄어들어 발병한다. 신성은 신장 자체에 장애가"
22,고관절 형성부전,"허리와 대퇴골을 연결하는 고관절이 변형되기 때문에 걷는 모습이 이상해지고 점점 관절의 움직임이 제한된다. 셰퍼드나 세인트 버나드, 골든 리트리버 등 대형견에게서 많이 발병한다. 성장기에 체중이 급격하게 증가하기 때문으로 보인다. 고관절 형성부전 [증상] 생후 6개월 무렵부터 좌우 양쪽 다리를 모아서 달린다, 허리가 후들거린다, 앉는 자세를 취하지 못한다 등의 증상이 나타난다. 증상이 점점 악화되어 다리를 질질 끌거나 뒷다리가 서지 못하게 되고 계단을 오르내리지 못한다, 운동을 싫어한다 등의 다양한 장애가 나타난다. [원인] 유전적 요소가 크다는 특징이 있다. 고관절의 뼈가 충분히 발달하지 못하고 관절의 모양이 나쁘며 부드럽게 움직이지 않는 것으로 인해 일어난다. 성장기에 살이 너무 찌거나 근력이 부족한 경우에 증상이 악화된다. [치료와 간호] 운동을 제한하고 체중을 관리하면서 항염증약이나 진통제 등을 투여하여 염증을 완화시킨다. 뼈를 절제하고 관절 형성 수술을..."
23,반려견의 스킨케어 - 청결하게 하는 것도 질병 예방,"사람과 마찬가지로 청결한 상태를 유지하는 것은 개에게도 매우 중요하다. 부지런히 손질하다 보면 변화나 이상을 일찌감치 알아차릴 수 있어 질병의 조기발견으로 이어진다. [이갈이 시기에도 주의] 이빨 사이에 음식찌꺼기가 남아 있으면 치석이나 구취의 원인이 된다. 이것을 방치하면 잇몸염증을 일으키고 심해지면 치주염이 된다. 예방을 위해서는 평소 부드러운 것만 주지 말고 편식하지 않도록 신경 써야 한다. 잘 떨어지지 않는 치석은 동물병원에서 제거한다. 또 유치에서 영구치로 이갈이를 하는 시기에는 신중하게 관찰한다. 소형견은 생후 6개월까지 빠져야 할 유치가 빠지지 않아 영구치가 나란히 나는 경우가 많은데(유치잔존), 이로 인해 부정교합이나 잇몸염증이 되기 쉽다. 이상을 발견하면 동물병원에서 발치 등의 처치를 받는다. [이빨 손질] 체크 포인트 음식찌꺼기, 치태, 치석이 끼지 않았는지 체크. 아래위의 어금니에는 치석이 끼기 쉬우므로 특히 신경 쓴다. 구취가 나지..."
24,"경련을 한다, 의식을 잃는다","경련을 하거나 의식을 잃는 질병은 많지 않은 대신 긴급을 요하는 경우가 많기 때문에 주의가 필요하다. [증례 차트 - 경련을 한다, 의식을 잃는다] 증상 유추할 수 있는 질병 대처 전신에 경련을 일으킨다. 수유 중인 어미개가 경련을 한다. • 저칼슘혈증 (관찰 포인트 부분 참조) 긴급히 병원으로 • 경련이 몇분 이상 장기화된다. • 뭔가를 먹은 후 경련을 일으킨다. • 간질 • 중독 • 종양 • 신부전 • 광견병 • 홍역 발작은 짧은 시간에 잦아들었다. 빨리 병원으로 부분적으로 경련을 일으킨다. • 간질 • 홍역의 후유증 의식을 잃는다. 실신이 몇 분 이상 지속된다. • 동맥관 개존증 • 심실 중격 결손증 • 폐동맥 협착증 • 심장사상충증 • 승모판 폐쇄부전 • 심근증 • 부정맥 긴급히 병원으로 바로 의식을 되찾았지만 기운이 없다. 빨리 병원으로 바로 의식을 되찾고 평소"
25,기침을 한다,"개의 기침에는 쿨럭거리는 마른기침과 쌕쌕거리는 습한 기침이 있다. 간혹 심장질병이 원인인 경우도 있다. [증례 차트 - 기침을 한다] 증상 유추할 수 있는 질병 대처 호흡곤란을 동반한다. • 폐렴 • 폐수종 • 기관지염 긴급히 병원으로 새끼에게 열이나 재채기, 눈곱 등이 나온다. • 홍역 • 기침 횟수가 많고 장기화된다. • 열이 있다. • 켄넬코프 • 기관지염 • 심장사상충증 • 기관허탈 • 폐렴 • 심근증 • 승모판 폐쇄부전 빨리 병원으로 기침은 일시적이고, 건강하고 식욕이 있다. 상태를 지켜본다. • 관찰 포인트 목이나 기관, 기관지, 폐 등 공기가 통하는 기도가 자극을 받으면 기침이 나온다. 흥분했을 때만 나오는 일시적인 기침이라면 크게 걱정할 필요는 없지만 기침 횟수가 많아지거나 장기화되는 것 같다면 치료를 받아야 한다. 방치하면 기침 때문에 기도의 염증이 더 악화되는 악순환이 일어난다"
26,파보바이러스 감염증,"발병하면 심한 설사나 구토를 하고 1~2일 사이에 사망하는 경우가 많은 치명적인 감염증이다. 이 바이러스는 병에 걸린 개의 토사물이나 배설물 등에 잠복해 6개월 이상 장기간 생존하며 소량으로도 감염된다. 이 질병과 홍역, 전염성 간염은 반드시 예방해야 하는 바이러스성 질병이다. [증상] 2~5일 정도 잠복했다가 심하게 구토, 설사를 한다. 증상이 심해지면 토마토케첩 같은 출혈을 동반한 점액 상태의 변을 본다. 구토와 설사 때문에 탈수증상을 일으키고 쇠약해지며 자견들은 쇼크사하기도 한다. 백혈구가 감소하는 것이 특징이고 소화기 증상을 일으키는 타입 외에 심근염형이라는 증상도 있다. 생후 몇 개월의 유견에게 발병하며 급성 심부전으로 돌연사하는 경우가 있다. [원인] 원인인 바이러스는 개파보바이러스이다. 감염된 개의 변이나 구토물, 오염된 식기나 의류 등에 개가 입이나 코를 대면서 감염된다. 감염된 개를 만진 사람의 손을 통해 옮는 경우도 있다. 체내에 들어간 바이러스는..."
27,노화의 신호와 대처 방법,"[피모의 윤기·색깔 변화] • 털의 윤기가 나빠진다. • 털이 빠진다, 옅어진다. • 흰털, 누런빛이 난다. 빗질로 혈행을 촉진 노화에 의해 피모가 빠지는 것은 자연스러운 일이다. 부드럽게 빗질을 해서 혈행을 촉진한다. 질병에 의한 경우도 있으니 이상하다고 판단되면 수의사에게 상담한다. [피부의 변화] • 탄력이 없어진다. • 패드가 팍팍해진다. • 나른해진다. 멍울이 없는지 확인 피부에 탄력이 없어지고 단단하게 조이던 근육이 사라지는 것도 자연스러운 일이다. 주의할 점은 멍울의 유무이다. 피부암 등의 가능성이 있으므로 멍울을 발견하면 일찌감치 병원으로. [움직임의 변화] • 천천히 걷는다. • 다리를 감싸듯이 걷는다. • 계단을 싫어한다. • 잠만 자고 움직이려 하지 않는다. 관절이나 뼈의 질병일 가능성도 근육이나 뼈, 관절 등이 쇠약해지고 움직이는 것이 귀찮아지는 것은 어쩔 수 없는 일이다. 단 관절이나 뼈의 이상으로 인한 통증 때문에 가만히 있는 경우도 생각해볼 수"
